business_name,searched_at,source_type,source_url,result,note
Acéntua Medicina Estética,2026-06-16T18:21:23,web_search,https://www.bing.com/search?q=%22Ac%C3%A9ntua%20Medicina%20Est%C3%A9tica%22%20correo%20contacto,searched,"""Acéntua Medicina Estética"" correo contacto"
Acéntua Medicina Estética,2026-06-16T18:21:24,web_search,https://www.bing.com/search?q=%22Ac%C3%A9ntua%20Medicina%20Est%C3%A9tica%22%20email,searched,"""Acéntua Medicina Estética"" email"
Acéntua Medicina Estética,2026-06-16T18:21:24,web_search,https://www.bing.com/search?q=%22Ac%C3%A9ntua%20Medicina%20Est%C3%A9tica%22%20%22San%20Pedro%22%20contacto,searched,"""Acéntua Medicina Estética"" ""San Pedro"" contacto"
Acéntua Medicina Estética,2026-06-16T18:21:25,summary,https://www.google.com/maps/search/?api=1&query=Ac%C3%A9ntua%20Medicina%20Est%C3%A9tica%20Av.%20Manuel%20G%C3%B3mez%20Mor%C3%ADn%202111%20cl%C3%ADnica%20est%C3%A9tica%20San%20Pedro%20Garza%20Garc%C3%ADa,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Casa del Arquitecto,2026-06-16T18:21:25,web_search,https://www.bing.com/search?q=%22Casa%20del%20Arquitecto%22%20correo%20contacto,searched,"""Casa del Arquitecto"" correo contacto"
Casa del Arquitecto,2026-06-16T18:21:26,web_search,https://www.bing.com/search?q=%22Casa%20del%20Arquitecto%22%20email,searched,"""Casa del Arquitecto"" email"
Casa del Arquitecto,2026-06-16T18:21:26,web_search,https://www.bing.com/search?q=%22Casa%20del%20Arquitecto%22%20%22Roma%20Norte%22%20contacto,searched,"""Casa del Arquitecto"" ""Roma Norte"" contacto"
Casa del Arquitecto,2026-06-16T18:21:27,summary,https://www.google.com/maps/search/?api=1&query=Casa%20del%20Arquitecto%20Av.%20Veracruz%2024%20arquitecto%20interiorismo%20Roma%20Norte%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Fisioterapia y Rehabilitación Vertiz Narvarte,2026-06-16T18:21:27,web_search,https://www.bing.com/search?q=%22Fisioterapia%20y%20Rehabilitaci%C3%B3n%20Vertiz%20Narvarte%22%20correo%20contacto,searched,"""Fisioterapia y Rehabilitación Vertiz Narvarte"" correo contacto"
Fisioterapia y Rehabilitación Vertiz Narvarte,2026-06-16T18:21:27,web_search,https://www.bing.com/search?q=%22Fisioterapia%20y%20Rehabilitaci%C3%B3n%20Vertiz%20Narvarte%22%20email,searched,"""Fisioterapia y Rehabilitación Vertiz Narvarte"" email"
Fisioterapia y Rehabilitación Vertiz Narvarte,2026-06-16T18:21:28,web_search,https://www.bing.com/search?q=%22Fisioterapia%20y%20Rehabilitaci%C3%B3n%20Vertiz%20Narvarte%22%20%22Narvarte%22%20contacto,searched,"""Fisioterapia y Rehabilitación Vertiz Narvarte"" ""Narvarte"" contacto"
Fisioterapia y Rehabilitación Vertiz Narvarte,2026-06-16T18:21:28,summary,https://www.google.com/maps/search/?api=1&query=Fisioterapia%20y%20Rehabilitaci%C3%B3n%20Vertiz%20Narvarte%20DR%20vertiz%2C%20C.%20Dr.%20Jos%C3%A9%20Mar%C3%ADa%20V%C3%A9rtiz%20636%2C%20LT%20dr%20fisioterapia%20Narvarte%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
Psicame. Psicóloga,2026-06-16T18:21:29,web_search,https://www.bing.com/search?q=%22Psicame.%20Psic%C3%B3loga%22%20correo%20contacto,searched,"""Psicame. Psicóloga"" correo contacto"
Psicame. Psicóloga,2026-06-16T18:21:29,web_search,https://www.bing.com/search?q=%22Psicame.%20Psic%C3%B3loga%22%20email,searched,"""Psicame. Psicóloga"" email"
Psicame. Psicóloga,2026-06-16T18:21:29,web_search,https://www.bing.com/search?q=%22Psicame.%20Psic%C3%B3loga%22%20%22Del%20Valle%22%20contacto,searched,"""Psicame. Psicóloga"" ""Del Valle"" contacto"
Psicame. Psicóloga,2026-06-16T18:21:30,summary,https://www.google.com/maps/search/?api=1&query=Psicame.%20Psic%C3%B3loga%20F%C3%A9liz%20Cuevas%2C%20Dr.%20Roberto%20Gayol%20520-Entrada%20por%20psic%C3%B3logo%20Del%20Valle%20CDMX,no_public_email,No public business email found. Use manual WhatsApp/Instagram/Maps channel.
"Mover-T, Clínica de Fisioterapia Integral",2026-06-16T18:21:30,web_search,https://www.bing.com/search?q=%22Mover-T%2C%20Cl%C3%ADnica%20de%20Fisioterapia%20Integral%22%20correo%20contacto,searched,"""Mover-T, Clínica de Fisioterapia Integral"" correo contacto"
"Mover-T, Clínica de Fisioterapia Integral",2026-06-16T18:21:30,web_search,https://www.bing.com/search?q=%22Mover-T%2C%20Cl%C3%ADnica%20de%20Fisioterapia%20Integral%22%20email,searched,"""Mover-T, Clínica de Fisioterapia Integral"" email"
