business_name,country,city,zone,reason,matched_existing_record,matched_source_file,source_url
Planetenglish,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.e-planetenglish.com/,,https://www.openstreetmap.org/node/12540898700
Dental Care Center,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.dentalcarecenter.com.mx,,https://www.openstreetmap.org/node/12542404029
Cosmetika Dental,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.kosmetikadental.com.mx,,https://www.openstreetmap.org/node/12542763206
Centro Odontologico Laser,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.centroodontologicolaser.com.mx,,https://www.openstreetmap.org/node/12542848417
Kadi 3d Imagen De Diagnostico Maxilofacial Digital,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.kadi3d.com/,,https://www.openstreetmap.org/node/12542952367
Consultorio De Dermatologia Y Estetica,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12543015535
Consultorio Dr Meza Cardona,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12543033604
Consultorio Nutriologos Al Rescate,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.nutriologosalrescate.com,,https://www.openstreetmap.org/node/12543038040
Lentilia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544174825
Podoclinic,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544625525
Dentista Dmg Dental Care,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544715969
Oddental Grupo Odontologico Del Parque,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544723377
Podologas Al Servicios De Sus Pies,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544739144
Shen Alternativas integrales para la salud,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.clinicashen.com,,https://www.openstreetmap.org/node/12544756382
Clinica Dental Sof Dental & Piccolo Dente,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.piccolodente.com,,https://www.openstreetmap.org/node/12544902702
Consultorio Dental M Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544972591
Centro De Educacion Especial Y Desarrollo,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12544992214
Consultorio Neurocirujano,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545019098
Spacyo Casa De Vapor Temascal,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545055018
Consultorio De Control De Peso,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545076111
Consultorio Médico Integral Plaza Tec,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545638999
Odontologia De Vanguardia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545691676
Dentista Dent-x,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545741194
Unidad Clínica Morfín,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12545948377
Consultorio Dental Atq Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12546633380
Alineate Consultorio,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12546699838
Consultorio De Homeopatia Terapia Fisica,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547061839
Unidad De Rehabilitacion E Integracion Social Dif,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547354293
Clínica Rehab,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.clinicarehab.com/,,https://www.openstreetmap.org/node/12547565078
Tzolkin,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547740325
Shaoyin Clinica De Control De Peso,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547780117
Dentalcare,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547783416
Acupuntura Zhen Ci,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547817462
Ortodent Consultorio Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547830290
S.m Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12547883432
